GitHub com login,GitHub com name,Enterprise server user ids,GitHub com user,Enterprise server user,Visual studio subscription user,License type,GitHub com profile,GitHub com member roles,GitHub com enterprise roles,GitHub com verified domain emails,GitHub com saml name,GitHub com orgs with pending invites,GitHub com two factor auth,GitHub com two factor auth required by date,GitHub com advanced security license user,Enterprise server primary emails,Enterprise server advanced security user ids,Visual studio license status,Visual studio subscription email,Total user accounts
wilkinson-short,Mr. Clifton Price,"",true,false,false,Enterprise,https://github.com/wilkinson-short,"springfield-nuclear:Owner, piedpiper:Member, waynetech:Owner, soylent-corp:Owner, massive-dynamic:Member, starkindustries:Member","Owner","",wilkinson-short@corp.dev,"",true,2025-12-09,false,"","",,,1
candace34,Ms. Paula Rohan IV,"",true,false,false,Enterprise,https://github.com/candace34,"globex-inc:Member, massive-dynamic:Owner, prestige-worldwide:Owner, waynetech:Owner, piedpiper:Member, dunder-mifflin-tech/octocat_supply-strange-platypus:Collaborator","Owner, Member, Pending invitation","",,"massive-dynamic, vandelay-industries",true,2025-03-11,false,"","",,,1
virtualBradtke,Leda Gutmann I,"",true,false,false,Enterprise,https://github.com/virtualBradtke,"piedpiper:Member, daily-planet-dev:Member","Owner, Member","",virtualBradtke@corp.dev,"",true,2023-06-06,false,"","",,,1
cross-platformGraham,Elmore Sauer,"",true,false,false,Enterprise,https://github.com/cross-platformGraham,"dunder-mifflin-tech:Member, oscorp:Owner, hooli:Member, aperture-labs:Owner, initech:Owner, acme-corp:Member, initech/lauren-bookstore-19:Collaborator","Owner, Member","cross-platformGraham@octodemo.com",,"",true,2024-10-08,false,"","",,,1
warren_legros,Karl Schmidt,"",true,false,false,Enterprise,https://github.com/warren_legros,"aperture-labs:Member, massive-dynamic:Member, initech:Member, prestige-worldwide:Member, starkindustries:Member, globex-inc:Member","Owner, Member","",,"",true,2024-08-06,true,"","",,,1
white-wicke,Ulices Kessler,"",true,false,false,Enterprise,https://github.com/white-wicke,"acme-corp:Owner, aperture-labs:Owner, oscorp:Member, dunder-mifflin-tech:Member, wonka-factory:Owner","Owner","",,"",true,2023-10-04,true,"","",,,1
erik67,Mr. George O'Conner,"208:octodemo.com:Member",true,true,false,Enterprise,https://github.com/erik67,"prestige-worldwide:Member, acme-corp:Member, globex-inc:Member, springfield-nuclear:Member, initech:Member","Member, Pending invitation","",,"hooli, prestige-worldwide, soylent-corp",true,2024-04-01,true,"erik67@github.com","",,,2
toney60,Myron Hegmann,"",true,false,false,Enterprise,https://github.com/toney60,"aperture-labs:Owner, acme-corp:Member, cyberdyne-sys:Member","Owner","",,"",true,2024-05-20,false,"","",,,1
redundantLindgren,Phillip Stehr,"103:octodemo.com:Member",true,true,false,Enterprise,https://github.com/redundantLindgren,"Bluth-Company:Member","Owner, Member","",redundantLindgren@company.com,"",true,2023-10-11,true,"redundantLindgren@github.com","",,,2
dashawn_nader53,Clinton Christiansen,"",true,false,false,Enterprise,https://github.com/dashawn_nader53,"oscorp:Member, vandelay-industries:Member, globex-inc:Member, aperture-labs:Member","Member","",,"",true,2023-06-15,false,"","",,,1
heller-venge,Sophie McDermott DDS,"",true,false,false,Enterprise,https://github.com/heller-venge,"daily-planet-dev:Member, springfield-nuclear:Owner, globex-inc:Member, hooli:Member, soylent-corp:Member","Owner, Member, Pending invitation","",,"daily-planet-dev",true,2023-03-23,false,"","",,,1
auxiliaryHane,Gail Little,"",true,false,false,Enterprise,https://github.com/auxiliaryHane,"Bluth-Company:Member, wonka-factory:Member, starkindustries:Member, soylent-corp:Member, piedpiper/octocat_supply-grubby-mortise:Collaborator","Member, Owner, Pending invitation","",,"oscorp, initech, acme-corp",false,,false,"","",,,1
macejkovic-ugly,Dr. Kenton Roberts Sr.,"",true,false,false,Enterprise,https://github.com/macejkovic-ugly,"wonka-factory:Member, acme-corp:Member","Owner, Pending invitation","",,"piedpiper, vandelay-industries",true,2024-07-02,false,"","",,,1
hirthe-grant-trivi,Adolphus Kuphal,"590:octodemo.com:Member",true,true,false,Enterprise,https://github.com/hirthe-grant-trivi,"acme-corp:Member, vandelay-industries:Owner, daily-planet-dev:Owner, wonka-factory:Member","Owner","hirthe-grant-trivi@octodemo.com",,"",false,,false,"hirthe-grant-trivi@github.com","",,,2
jennieconn,Darryl Tremblay,"",true,false,false,Enterprise,https://github.com/jennieconn,"umbrella-corp:Member, prestige-worldwide:Member, initech:Member, waynetech:Member, hooli:Owner","Member, Owner","jennieconn@octodemo.com",,"",true,2025-08-13,false,"","",,,1
darwin19,Harriet McClure,"",true,false,false,Enterprise,https://github.com/darwin19,"acme-corp:Owner, prestige-worldwide:Member, oscorp:Owner, soylent-corp:Owner, initech/joyful-sandbar:Collaborator","Owner","",,"",true,2025-12-17,true,"","",,,1
dibbert-gloss,Jon Kessler,"",true,false,false,Enterprise,https://github.com/dibbert-gloss,"piedpiper:Member, wonka-factory:Owner, dunder-mifflin-tech:Member, initech:Member, hooli:Owner, waynetech/stingy-plumber-app:Collaborator","Owner, Member","",,"",false,,true,"","",,,1
lorena30,Jason Batz,"",true,false,false,Enterprise,https://github.com/lorena30,"acme-corp:Member, hooli:Owner, daily-planet-dev:Member, wonka-factory:Member","Owner, Member","",,"",true,2024-04-13,true,"","",,,1
rhiannondach,Thelma Bogisich,"1249:octodemo.com:Member",true,true,false,Enterprise,https://github.com/rhiannondach,"daily-planet-dev:Member, prestige-worldwide:Member, waynetech/blossom-demo:Collaborator","Member, Owner","",,"",true,2025-11-25,false,"rhiannondach@github.com","",,,2
fletcher35,Calvin Jacobs,"",true,false,false,Enterprise,https://github.com/fletcher35,"vandelay-industries:Member, Bluth-Company:Member, umbrella-corp:Owner","Member, Owner","",fletcher35@company.com,"",true,2025-04-04,false,"","",,,1
douglas43,,"",true,false,false,Enterprise,https://github.com/douglas43,"aperture-labs:Member","Member","",,"",true,2025-09-26,false,"","",,,1
blanda-wrath,Helena Fahey MD,"324:octodemo.com:Member",true,true,false,Enterprise,https://github.com/blanda-wrath,"daily-planet-dev:Member","Member","",,"",true,2024-05-09,false,"blanda-wrath@github.com","",,,2
jay57,Salvador Wilkinson,"",true,false,false,Enterprise,https://github.com/jay57,"massive-dynamic:Member, soylent-corp:Member, springfield-nuclear:Member, hooli:Member, cyberdyne-sys:Owner, Bluth-Company:Member","Owner, Member, Pending invitation","",,"umbrella-corp, hooli",true,2025-10-25,true,"","",,,1
brian22,Clemmie Greenfelder,"",true,false,false,Enterprise,https://github.com/brian22,"globex-inc:Member","Member, Owner","",,"",true,2023-06-07,false,"","",,,1
claude60,Edmond Roberts,"",true,false,false,Enterprise,https://github.com/claude60,"wonka-factory:Owner, initech:Member, piedpiper:Member, vandelay-industries:Owner, starkindustries:Member, springfield-nuclear:Member","Member","",claude60@corp.dev,"",false,,false,"","",,,1
1080pBauch,Creola Flatley,"",true,false,false,Enterprise,https://github.com/1080pBauch,"initech:Member","Owner","1080pBauch@octodemo.com",,"",true,2024-10-11,false,"","",,,1
hapticMacGyver,Ana Stracke,"",true,false,false,Enterprise,https://github.com/hapticMacGyver,"dunder-mifflin-tech:Owner","Owner, Member","",,"",false,,true,"","",,,1
larue24,Helene Muller,"",true,false,false,Enterprise,https://github.com/larue24,"springfield-nuclear:Owner, prestige-worldwide:Member, hooli:Member, starkindustries:Member","Owner, Member, Pending invitation","",larue24@corp.dev,"globex-inc",true,2023-06-24,true,"","",,,1
shayna52,Miss Jill Rolfson,"",true,false,false,Enterprise,https://github.com/shayna52,"oscorp:Owner, globex-inc:Owner, aperture-labs:Member","Member, Owner","",,"",true,2024-04-27,false,"","",,,1
lois13,,"",true,false,false,Enterprise,https://github.com/lois13,"Bluth-Company:Member","Owner, Pending invitation","",,"starkindustries, cyberdyne-sys, globex-inc",true,2024-03-27,false,"","",,,1
neuralTremblay,Leonard Orn,"",true,false,false,Enterprise,https://github.com/neuralTremblay,"cyberdyne-sys:Member, wonka-factory:Member","Owner","",,"",true,2024-07-04,true,"","",,,1
ariane94,Melinda Hayes,"",true,false,false,Enterprise,https://github.com/ariane94,"oscorp:Member, vandelay-industries:Member","Member, Pending invitation","",,"massive-dynamic, globex-inc",true,2024-02-01,false,"","",,,1
watsica-trick,Miss Ramona Von,"",true,false,false,Enterprise,https://github.com/watsica-trick,"wonka-factory:Member, Bluth-Company:Owner, soylent-corp:Member, cyberdyne-sys:Member","Owner, Member, Pending invitation","",,"soylent-corp",false,,true,"","",,,1
solidstateChristians,,"",true,false,false,Enterprise,https://github.com/solidstateChristians,"waynetech:Member, cyberdyne-sys:Member, prestige-worldwide:Member, daily-planet-dev:Member, soylent-corp:Member, dunder-mifflin-tech:Owner","Member, Owner","",,"",true,2025-03-05,true,"","",,,1
nathanial81,Lena Swift,"",true,false,false,Enterprise,https://github.com/nathanial81,"initech:Member, Bluth-Company:Member, hooli:Member, soylent-corp:Owner, springfield-nuclear:Owner","Member, Pending invitation","",,"globex-inc",true,2023-01-25,true,"","",,,1
laury_wisozk21,Dr. Melisa Schuster-Jakubowski DDS,"",true,false,false,Enterprise,https://github.com/laury_wisozk21,"starkindustries:Member, cyberdyne-sys:Owner","Owner, Member","",,"",false,,false,"","",,,1
